chr	start	end	length	summit	tags	NAME	fold_enrichment	FDR%	chromosome	summit_center_pos	summit_centered_start	summit_centered_end
chr1	193025371	193025966	596	197	21	78.74	5.48	0.09	chr1	193025567	193025517	193025617
chr1	19401307	19402331	1025	373	47	207.9	6.88	0.03	chr1	19401679	19401629	19401729
chr1	197296814	197297550	737	313	18	75.45	6.32	0.1	chr1	197297126	197297076	197297176
chr1	198625483	198626187	705	367	111	1346.28	31.33	0	chr1	198625849	198625799	198625899
chr1	198666415	198667503	1089	556	47	260.77	12.08	0.02	chr1	198666970	198666920	198667020
chr1	199660317	199661217	901	612	93	722.3	18.89	0	chr1	199660928	199660878	199660978
chr1	199875544	199876224	681	317	17	66.51	5.14	0.17	chr1	199875860	199875810	199875910
chr1	200053562	200054464	903	395	42	244.49	13.75	0.02	chr1	200053956	200053906	200054006
chr1	200080330	200081002	673	276	52	473.6	19.09	0.01	chr1	200080605	200080555	200080655
chr1	200379419	200380210	792	456	25	94.46	5.77	0.06	chr1	200379874	200379824	200379924
chr1	201846769	201847652	884	395	26	92.65	7.69	0.07	chr1	201847163	201847113	201847213
chr1	202779370	202780476	1107	552	69	537.34	24.55	0.02	chr1	202779921	202779871	202779971
chr1	204029556	204030578	1023	554	61	436.98	19.17	0.02	chr1	204030109	204030059	204030159
chr1	204096636	204097132	497	293	14	53.23	4.58	0.35	chr1	204096928	204096878	204096978
chr1	204346998	204347699	702	422	26	131.02	6.67	0.04	chr1	204347419	204347369	204347469
chr1	208011638	208012221	584	399	15	53.37	4.58	0.35	chr1	208012036	208011986	208012086
chr1	210055055	210055635	581	300	15	74.06	6.67	0.12	chr1	210055354	210055304	210055404
chr1	21437289	21437869	581	339	18	63.17	4.64	0.2	chr1	21437627	21437577	21437677
chr1	214689318	214690379	1062	530	52	214.67	8.89	0.03	chr1	214689847	214689797	214689897
chr1	220959527	220960318	792	461	72	491.83	15.53	0.01	chr1	220959987	220959937	220960037
chr1	221734342	221735063	722	350	21	65.05	6.07	0.18	chr1	221734691	221734641	221734741
chr1	221947360	221948737	1378	942	140	883.92	14.13	0	chr1	221948301	221948251	221948351
chr1	222491497	222492071	575	329	15	60.37	4.55	0.25	chr1	222491825	222491775	222491875
chr1	224374272	224375222	951	380	62	375.21	13.75	0.02	chr1	224374651	224374601	224374701
chr1	224492235	224493067	833	432	67	381.92	11.67	0.02	chr1	224492666	224492616	224492716
chr1	224690887	224691930	1044	611	33	113.77	5.71	0.04	chr1	224691497	224691447	224691547
chr1	225040511	225041056	546	347	14	65.78	6.11	0.18	chr1	225040857	225040807	225040907
chr1	225417976	225418810	835	379	28	132.68	10.45	0.04	chr1	225418354	225418304	225418404
chr1	226021708	226022948	1241	801	50	203.14	7.33	0.03	chr1	226022508	226022458	226022558
chr1	226852414	226853025	612	176	16	61.48	5	0.23	chr1	226852589	226852539	226852639
chr1	229365325	229366235	911	480	36	184.31	9.52	0.03	chr1	229365804	229365754	229365854
chr1	230633948	230635123	1176	586	68	331.47	11.94	0.03	chr1	230634533	230634483	230634583
chr1	232440521	232441471	951	388	53	418.9	18.56	0.02	chr1	232440908	232440858	232440958
chr1	233758857	233759524	668	412	20	110.97	9.66	0.04	chr1	233759268	233759218	233759318
chr1	2341883	2343056	1174	601	92	336.6	8.87	0.03	chr1	2342483	2342433	2342533
chr1	234200101	234200663	563	276	18	92.6	5.88	0.07	chr1	234200376	234200326	234200426
chr1	234739175	234740178	1004	267	29	88.72	4.29	0.07	chr1	234739441	234739391	234739491
chr1	239198338	239199067	730	241	28	167.54	9.18	0.03	chr1	239198578	239198528	239198628
chr1	239989152	239990071	920	489	29	145.6	9.5	0.03	chr1	239989640	239989590	239989690
chr1	241773033	241774019	987	586	62	265.59	9.32	0.02	chr1	241773618	241773568	241773668
chr1	243417193	243417907	715	430	19	69.23	4.58	0.16	chr1	243417622	243417572	243417672
chr1	245269167	245270124	958	391	109	938.56	25.88	0	chr1	245269557	245269507	245269607
chr1	246167429	246168330	902	387	37	206.94	11.16	0.03	chr1	246167815	246167765	246167865
chr1	247273885	247274420	536	367	14	58.14	4.37	0.28	chr1	247274251	247274201	247274301
chr1	247843144	247844198	1055	533	46	116.72	5.87	0.04	chr1	247843676	247843626	247843726
chr1	29868709	29869673	965	478	49	234.73	9.06	0.02	chr1	29869186	29869136	29869236
chr1	31137081	31137959	879	364	75	537.09	17.35	0.02	chr1	31137444	31137394	31137494
chr1	3229853	3230992	1140	605	178	1733.01	38.16	0	chr1	3230457	3230407	3230507
chr1	32892329	32892958	630	430	16	80.54	7.83	0.08	chr1	32892758	32892708	32892808
chr1	34518042	34518640	599	282	40	246.34	8.69	0.02	chr1	34518323	34518273	34518373
chr1	35251812	35252624	813	483	21	57.73	4.8	0.28	chr1	35252294	35252244	35252344
chr1	43217294	43217978	685	355	26	158.54	9	0.03	chr1	43217648	43217598	43217698
chr1	43461782	43462714	933	467	36	154.25	8.21	0.03	chr1	43462248	43462198	43462298
chr1	43692787	43693310	524	335	14	68.54	6.67	0.16	chr1	43693121	43693071	43693171
chr1	44108205	44109354	1150	721	48	326.28	13.89	0.03	chr1	44108925	44108875	44108975
chr1	44401190	44401877	688	444	20	70.85	4.62	0.14	chr1	44401633	44401583	44401683
chr1	45049599	45050661	1063	496	83	706.57	27.92	0	chr1	45050094	45050044	45050144
chr1	46345	47435	1091	556	37	79.27	4.5	0.09	chr1	46900	46850	46950
chr1	48199332	48199904	573	198	14	60.43	6.45	0.25	chr1	48199529	48199479	48199579
chr1	48991324	48992490	1167	582	58	254.01	10.59	0.03	chr1	48991905	48991855	48991955
chr1	52017246	52017938	693	363	32	159.8	7.28	0.03	chr1	52017608	52017558	52017658
chr1	53073155	53073571	417	234	16	118.71	9.49	0.04	chr1	53073388	53073338	53073438
chr1	53642023	53642953	931	356	61	374.28	13.12	0.02	chr1	53642378	53642328	53642428
chr1	53977407	53978456	1050	517	59	378.17	11.15	0.02	chr1	53977923	53977873	53977973
chr1	54762970	54764941	1972	508	109	671.49	15	0	chr1	54763477	54763427	54763527
chr1	57551212	57551973	762	457	41	233.89	11.08	0.02	chr1	57551668	57551618	57551718
chr1	58537845	58539040	1196	516	47	246.54	9.48	0.02	chr1	58538360	58538310	58538410
chr1	59011264	59012159	896	506	58	497.21	23.74	0.01	chr1	59011769	59011719	59011819
chr1	59387607	59388627	1021	557	41	92.53	4.13	0.07	chr1	59388163	59388113	59388213
chr1	60139592	60140238	647	374	28	125.3	7	0.04	chr1	60139965	60139915	60140015
chr1	60441611	60442613	1003	474	32	139.09	7.02	0.04	chr1	60442084	60442034	60442134
chr1	60816019	60816775	757	376	51	317.58	13.75	0.02	chr1	60816394	60816344	60816444
chr1	6217589	6218624	1036	523	50	216.18	7.06	0.03	chr1	6218111	6218061	6218161
chr1	63764200	63765011	812	524	27	128.93	8.57	0.04	chr1	63764723	63764673	63764773
chr1	65329522	65330196	675	477	20	106.54	7.14	0.05	chr1	65329998	65329948	65330048
chr1	66153224	66153978	755	389	23	83.23	5.38	0.08	chr1	66153612	66153562	66153662
chr1	66917276	66918527	1252	641	67	406.77	11.92	0.02	chr1	66917916	66917866	66917966
chr1	67191406	67192341	936	482	28	53.92	4.47	0.34	chr1	67191887	67191837	67191937
chr1	73531013	73532047	1035	534	75	579.89	22.69	0.02	chr1	73531546	73531496	73531596
chr1	74628836	74629326	491	242	18	115.65	8.79	0.04	chr1	74629077	74629027	74629127
chr1	76570872	76571821	950	518	47	274.39	12.31	0.02	chr1	76571389	76571339	76571439
chr1	77107285	77107943	659	476	18	80.57	7	0.08	chr1	77107760	77107710	77107810
chr1	79540087	79541240	1154	519	49	241.61	10.77	0.02	chr1	79540605	79540555	79540655
chr1	79545443	79546109	667	194	20	80.94	6.67	0.09	chr1	79545636	79545586	79545686
chr1	80103011	80103772	762	383	19	63.82	5	0.19	chr1	80103393	80103343	80103443
chr1	83619852	83620562	711	412	27	99.23	6.56	0.05	chr1	83620263	83620213	83620313
chr1	83713027	83713654	628	341	16	66.57	6	0.17	chr1	83713367	83713317	83713417
chr1	8671801	8672736	936	590	77	643.9	23.26	0.02	chr1	8672390	8672340	8672440
chr1	87483525	87484523	999	381	82	567.94	16.45	0.02	chr1	87483905	87483855	87483955
chr1	9134820	9135658	839	471	99	787.43	16	0	chr1	9135290	9135240	9135340
chr1	93314230	93315051	822	392	46	326.03	14.91	0.02	chr1	93314621	93314571	93314671
chr1	94515231	94516190	960	554	55	304.65	9.92	0.02	chr1	94515784	94515734	94515834
chr1	94873139	94874122	984	524	42	209.58	7.31	0.03	chr1	94873662	94873612	94873712
chr1	95268810	95269703	894	310	42	229.59	9.23	0.02	chr1	95269119	95269069	95269169
chr1	95992694	95993754	1061	558	59	427.51	19.55	0.02	chr1	95993251	95993201	95993301
chr10	102132636	102133608	973	638	31	52.35	2.5	0.38	chr10	102133273	102133223	102133323
chr10	103113388	103114166	779	249	28	67.71	4.25	0.16	chr10	103113636	103113586	103113686
chr10	106037092	106038254	1163	693	102	572.13	13.91	0.02	chr10	106037784	106037734	106037834
chr10	106166289	106166904	616	416	19	90.45	6.82	0.07	chr10	106166704	106166654	106166754
chr10	111345216	111345735	520	215	14	62.03	6	0.22	chr10	111345430	111345380	111345480
chr10	111675161	111675890	730	230	35	238.72	12.14	0.02	chr10	111675390	111675340	111675440
chr10	113234453	113235251	799	479	26	130.33	8.02	0.04	chr10	113234931	113234881	113234981
chr10	117326089	117326865	777	479	24	104.01	7.77	0.04	chr10	117326567	117326517	117326617
chr10	117425624	117426088	465	268	17	133.96	10.34	0.04	chr10	117425891	117425841	117425941
chr10	122412636	122413426	791	393	41	254.06	12.26	0.03	chr10	122413028	122412978	122413078
chr10	125704576	125705472	897	503	31	141.99	10	0.04	chr10	125705078	125705028	125705128
chr10	126411188	126411776	589	254	21	152.96	12.41	0.03	chr10	126411441	126411391	126411491
chr10	127279933	127280958	1026	666	70	323.06	11.14	0.02	chr10	127280598	127280548	127280648
chr10	127334692	127335633	942	492	34	114.45	5.94	0.04	chr10	127335183	127335133	127335233
chr10	127378301	127379276	976	475	37	195.63	10.45	0.02	chr10	127378775	127378725	127378825
chr10	127396234	127396884	651	406	16	88.65	6.89	0.07	chr10	127396639	127396589	127396689
chr10	128439017	128439651	635	442	21	83.74	7.31	0.07	chr10	128439458	128439408	128439508
chr10	129076214	129077043	830	337	27	139.7	10.5	0.04	chr10	129076550	129076500	129076600
chr10	129900895	129901660	766	421	24	133.83	8.75	0.04	chr10	129901315	129901265	129901365
chr10	129907282	129908902	1621	851	127	959.17	17.97	0	chr10	129908132	129908082	129908182
chr10	131035977	131036681	705	433	22	148.89	10.34	0.03	chr10	131036409	131036359	131036459
chr10	133810957	133811709	753	460	23	92.25	5.02	0.07	chr10	133811416	133811366	133811466
chr10	13845370	13846672	1303	738	58	209.13	6.11	0.03	chr10	13846107	13846057	13846157
chr10	14444895	14446651	1757	521	82	334.41	6.76	0.03	chr10	14445415	14445365	14445465
chr10	14733896	14735415	1520	700	154	1125.09	17.37	0	chr10	14734595	14734545	14734645
chr10	16753468	16754421	954	412	34	105.65	6.26	0.05	chr10	16753879	16753829	16753929
chr10	17241355	17241936	582	338	15	53.6	4.17	0.35	chr10	17241692	17241642	17241742
chr10	1778353	1778923	571	230	15	54.88	3.75	0.33	chr10	1778582	1778532	1778632
chr10	21448670	21449690	1021	567	33	155.86	9.17	0.03	chr10	21449236	21449186	21449286
chr10	22904215	22905019	805	511	37	208.85	11.67	0.03	chr10	22904725	22904675	22904775
chr10	23528375	23528897	523	336	15	91.06	6.87	0.07	chr10	23528710	23528660	23528760
chr10	28249302	28250123	822	368	28	167.59	9.77	0.03	chr10	28249669	28249619	28249719
chr10	28973751	28974760	1010	612	28	51.75	3.06	0.4	chr10	28974362	28974312	28974412
chr10	29062533	29063579	1047	529	51	267.97	11.79	0.02	chr10	29063061	29063011	29063111
chr10	29148561	29149892	1332	418	51	181.04	6.66	0.03	chr10	29148978	29148928	29149028
chr10	30477524	30478618	1095	537	55	160.43	5.83	0.03	chr10	30478060	30478010	30478110
chr10	30976457	30977067	611	390	19	100.27	6.5	0.05	chr10	30976846	30976796	30976896
chr10	32048829	32049505	677	177	20	87.71	5	0.07	chr10	32049005	32048955	32049055
chr10	32071405	32072346	942	435	32	83.64	5.56	0.07	chr10	32071839	32071789	32071889
chr10	3329425	3330828	1404	905	88	334.01	8.96	0.03	chr10	3330329	3330279	3330379
chr10	33968580	33969373	794	368	30	161.44	9.63	0.03	chr10	33968947	33968897	33968997
chr10	34389302	34390342	1041	448	83	488.06	13.5	0.01	chr10	34389749	34389699	34389799
chr10	36466578	36467849	1272	510	59	277.78	10.33	0.02	chr10	36467087	36467037	36467137
chr10	376185	376778	594	185	14	50.45	5.71	0.43	chr10	376369	376319	376419
chr10	45915620	45916575	956	473	30	109.77	7.31	0.04	chr10	45916092	45916042	45916142
chr10	46638724	46639524	801	397	17	62.33	6.25	0.22	chr10	46639120	46639070	46639170
chr10	47686521	47687105	585	399	23	142.01	11.11	0.04	chr10	47686919	47686869	47686969
chr10	48426827	48427526	700	312	22	71.38	4	0.14	chr10	48427138	48427088	48427188
chr10	50582560	50583693	1134	391	83	360.88	10.8	0.02	chr10	50582950	50582900	50583000
chr10	54577478	54578177	700	457	20	51.85	4.06	0.4	chr10	54577934	54577884	54577984
chr10	5551893	5552896	1004	473	40	141.7	8.24	0.04	chr10	5552365	5552315	5552415
chr10	55646382	55647036	655	309	24	110.4	6.92	0.04	chr10	55646690	55646640	55646740
chr10	57175071	57176004	934	448	32	71.54	5.25	0.14	chr10	57175518	57175468	57175568
chr10	58143469	58144201	733	312	21	63.72	5.71	0.19	chr10	58143780	58143730	58143830
chr10	59911373	59912117	745	395	26	120.25	6.91	0.04	chr10	59911767	59911717	59911817
chr10	60028375	60029326	952	427	33	83.97	3.68	0.07	chr10	60028801	60028751	60028851
chr10	61337853	61338769	917	434	27	114.19	9.09	0.04	chr10	61338286	61338236	61338336
chr10	61448425	61449436	1012	492	44	118.84	6.14	0.04	chr10	61448916	61448866	61448966
chr10	62134993	62136023	1031	555	103	599.02	17.4	0.02	chr10	62135547	62135497	62135597
chr10	62737313	62738108	796	334	19	75.34	5.97	0.1	chr10	62737646	62737596	62737696
chr10	63740882	63741925	1044	558	42	169.06	9.33	0.03	chr10	63741439	63741389	63741489
chr10	64051343	64052296	954	525	56	366.9	16.92	0.02	chr10	64051867	64051817	64051917
chr10	64164325	64165382	1058	513	54	173.39	8.04	0.03	chr10	64164837	64164787	64164887
chr10	65028464	65029590	1127	686	53	235.32	7.81	0.02	chr10	65029149	65029099	65029199
chr10	65558507	65559877	1371	579	74	311.78	7.11	0.02	chr10	65559085	65559035	65559135
chr10	68613271	68614335	1065	556	51	282.59	12.31	0.02	chr10	68613826	68613776	68613876
chr10	68781434	68782031	598	407	19	118.37	7.65	0.04	chr10	68781840	68781790	68781890
chr10	69661271	69661792	522	261	15	50.59	3.57	0.42	chr10	69661531	69661481	69661581
chr10	69825200	69826102	903	586	41	276.08	10.5	0.02	chr10	69825785	69825735	69825835
chr10	71010364	71010934	571	381	20	108.9	8.09	0.04	chr10	71010744	71010694	71010794
chr10	71672049	71673039	991	539	30	104.97	8.08	0.04	chr10	71672587	71672537	71672637
chr10	72744660	72745488	829	335	24	84.05	5.77	0.07	chr10	72744994	72744944	72745044
chr10	73349512	73350481	970	455	36	91.71	6	0.07	chr10	73349966	73349916	73350016
chr10	73945951	73946815	865	408	27	151.46	6.82	0.03	chr10	73946358	73946308	73946408
chr10	75307286	75308002	717	343	21	93.67	6.73	0.06	chr10	75307628	75307578	75307678
chr10	76585762	76586740	979	512	37	94.75	6.5	0.06	chr10	76586273	76586223	76586323
chr10	76635157	76636413	1257	655	118	564.24	12.59	0.02	chr10	76635811	76635761	76635861
chr10	76727488	76728845	1358	865	80	734.41	24.07	0	chr10	76728352	76728302	76728402
chr10	78682458	78683369	912	475	29	84.15	5.31	0.07	chr10	78682932	78682882	78682982
chr10	78695846	78696418	573	243	14	52.69	4.76	0.37	chr10	78696088	78696038	78696138
chr10	79173123	79174208	1086	471	58	330.1	13.93	0.03	chr10	79173593	79173543	79173643
chr10	79241588	79242328	741	300	20	79.26	6.36	0.09	chr10	79241887	79241837	79241937
chr10	80239312	80239903	592	269	30	167.97	7.14	0.03	chr10	80239580	80239530	80239630
chr10	8248554	8249533	980	496	51	391.96	17.55	0.02	chr10	8249049	8248999	8249099
chr10	8367815	8369664	1850	1349	103	768.35	26.47	0	chr10	8369163	8369113	8369213
chr10	85217126	85217712	587	177	14	60.99	4.44	0.23	chr10	85217302	85217252	85217352
chr10	88849270	88850270	1001	491	31	101.25	5.94	0.05	chr10	88849760	88849710	88849810
chr10	91019963	91020455	493	299	16	84.07	5.92	0.07	chr10	91020261	91020211	91020311
chr10	924304	924823	520	281	35	273.77	12.08	0.02	chr10	924584	924534	924634
chr10	93468816	93469730	915	397	37	130.71	7.06	0.04	chr10	93469212	93469162	93469262
chr10	94192050	94193027	978	505	34	152.24	7.02	0.03	chr10	94192554	94192504	94192604
chr10	95203739	95204489	751	410	19	52.5	4.29	0.37	chr10	95204148	95204098	95204198
chr10	97147920	97148950	1031	540	67	361.85	13.61	0.02	chr10	97148459	97148409	97148509
chr10	98112234	98113170	937	447	34	209.94	13.33	0.03	chr10	98112680	98112630	98112730
chr11	10041586	10042427	842	429	26	122.53	9.82	0.04	chr11	10042014	10041964	10042064
chr11	100751362	100752240	879	430	33	94.77	5.26	0.06	chr11	100751791	100751741	100751841
chr11	10203291	10203862	572	191	14	56.51	5.56	0.3	chr11	10203481	10203431	10203531
chr11	104788761	104789350	590	406	14	53.29	4.95	0.35	chr11	104789166	104789116	104789216
chr11	105958267	105959153	887	491	27	88.75	6.43	0.07	chr11	105958757	105958707	105958807
chr11	106008336	106009301	966	378	62	443.19	17.19	0.01	chr11	106008713	106008663	106008763
chr11	10953032	10953792	761	418	24	71.33	5.31	0.14	chr11	10953449	10953399	10953499
chr11	110565325	110566210	886	477	26	110.29	7.59	0.04	chr11	110565801	110565751	110565851
chr11	110633921	110634773	853	537	28	87.12	4.87	0.07	chr11	110634457	110634407	110634507
chr11	111652827	111653431	605	220	19	75.34	5.29	0.1	chr11	111653046	111652996	111653096
chr11	112307484	112308105	622	246	19	62.14	5	0.22	chr11	112307729	112307679	112307779
chr11	112783052	112783636	585	395	16	50.31	4.44	0.44	chr11	112783446	112783396	112783496
chr11	112795862	112796817	956	484	42	115	5.68	0.04	chr11	112796345	112796295	112796395
chr11	113727507	113728814	1308	833	39	108	5	0.04	chr11	113728339	113728289	113728389
chr11	113730183	113731626	1444	885	64	329.87	10.38	0.03	chr11	113731067	113731017	113731117
chr11	113871912	113872998	1087	563	44	78.96	4.42	0.09	chr11	113872474	113872424	113872524
chr11	113998859	113999882	1024	465	102	714.45	21.25	0	chr11	113999323	113999273	113999373
chr11	114009691	114010543	853	341	38	193.56	10.95	0.02	chr11	114010031	114009981	114010081
chr11	11443784	11444503	720	335	19	76.23	5.91	0.1	chr11	11444118	11444068	11444168
chr11	116342975	116344090	1116	611	49	231.91	9.29	0.02	chr11	116343585	116343535	116343635
chr11	116816903	116817790	888	457	68	252.89	7.56	0.03	chr11	116817359	116817309	116817409
chr11	116941733	116942785	1053	517	48	114.58	7.2	0.04	chr11	116942249	116942199	116942299
chr11	117689578	117690481	904	405	22	68.3	4.58	0.16	chr11	117689982	117689932	117690032
chr11	120396098	120397224	1127	544	133	977.68	22.95	0	chr11	120396641	120396591	120396691
chr11	121122910	121123802	893	522	27	96.77	5.77	0.06	chr11	121123431	121123381	121123481
chr11	123342946	123343652	707	411	19	63.39	5.77	0.2	chr11	123343356	123343306	123343406
chr11	128574987	128575750	764	267	26	92.97	5.67	0.07	chr11	128575253	128575203	128575303
chr11	128885327	128886064	738	407	22	64.57	4.58	0.19	chr11	128885733	128885683	128885783
chr11	128924870	128925891	1022	452	77	584.5	16.54	0.02	chr11	128925321	128925271	128925371
chr11	129812894	129813571	678	267	19	50.07	4.37	0.45	chr11	129813160	129813110	129813210
chr11	130404833	130406146	1314	754	81	477.27	12.66	0.01	chr11	130405586	130405536	130405636
chr11	13062703	13063297	595	343	25	128.44	8.08	0.04	chr11	13063045	13062995	13063095
chr11	131688531	131688936	406	207	14	64.7	5.28	0.18	chr11	131688737	131688687	131688787
chr11	131976028	131976864	837	363	24	64.81	4.18	0.18	chr11	131976390	131976340	131976440
chr11	134159176	134159703	528	329	14	61.03	5.5	0.23	chr11	134159504	134159454	134159554
chr11	13524840	13525591	752	323	23	119.91	7.52	0.04	chr11	13525162	13525112	13525212
chr11	15850768	15851307	540	342	14	59.57	5	0.26	chr11	15851109	15851059	15851159
chr11	19829785	19830675	891	478	20	89.53	8.54	0.06	chr11	19830262	19830212	19830312
chr11	23614961	23616365	1405	781	81	657.28	20	0.02	chr11	23615741	23615691	23615791
chr11	24506732	24507349	618	246	26	159.58	8.64	0.03	chr11	24506977	24506927	24507027
chr11	24586596	24587478	883	441	27	89.28	5.71	0.06	chr11	24587036	24586986	24587086
chr11	25357614	25358355	742	367	30	157.18	9.17	0.03	chr11	25357980	25357930	25358030
chr11	2633873	2634617	745	317	17	75.91	5.75	0.11	chr11	2634189	2634139	2634239
chr11	26891065	26892115	1051	552	41	205.71	11.25	0.03	chr11	26891616	26891566	26891666
chr11	27035131	27035852	722	311	17	59.31	4.51	0.26	chr11	27035441	27035391	27035491
chr11	27416064	27416773	710	310	35	176.4	8.67	0.03	chr11	27416373	27416323	27416423
chr11	30391340	30392250	911	535	71	684.34	21.72	0	chr11	30391874	30391824	30391924
chr11	31528828	31529556	729	251	26	144.87	10.1	0.03	chr11	31529078	31529028	31529128
chr11	35704184	35705153	970	435	28	136.59	9.78	0.04	chr11	35704618	35704568	35704668
chr11	36394356	36394959	604	417	16	68	4.9	0.16	chr11	36394772	36394722	36394822
chr11	37229290	37230309	1020	490	67	271.76	9.38	0.02	chr11	37229779	37229729	37229829
chr11	37288357	37288867	511	324	14	63.18	5	0.2	chr11	37288680	37288630	37288730
chr11	40251972	40252983	1012	519	76	406.1	12.38	0.02	chr11	40252490	40252440	40252540
chr11	42583640	42584381	742	257	26	154.65	11.58	0.03	chr11	42583896	42583846	42583946
chr11	42631154	42632032	879	464	34	198.49	11.72	0.02	chr11	42631617	42631567	42631667
chr11	44782792	44783821	1030	532	70	570.67	24.32	0.02	chr11	44783323	44783273	44783373
chr11	46482698	46483464	767	386	19	70.68	6.36	0.14	chr11	46483083	46483033	46483133
chr11	4790798	4791246	449	180	15	93.8	7.22	0.06	chr11	4790977	4790927	4791027
chr11	58197989	58198797	809	397	24	116.4	7	0.04	chr11	58198385	58198335	58198435
chr11	58494115	58495251	1137	629	45	304.49	14.94	0.02	chr11	58494743	58494693	58494793
chr11	59052010	59052596	587	188	15	65.64	6	0.18	chr11	59052197	59052147	59052247
chr11	59855997	59857473	1477	390	67	164.34	7.29	0.03	chr11	59856386	59856336	59856436
chr11	60468741	60469973	1233	744	43	192.59	7.92	0.02	chr11	60469484	60469434	60469534
chr11	63140923	63142186	1264	721	58	86.87	4.42	0.07	chr11	63141643	63141593	63141693
chr11	65553924	65555105	1182	584	94	376.62	9.76	0.02	chr11	65554507	65554457	65554557
chr11	65685608	65687270	1663	564	68	102.44	3.18	0.05	chr11	65686171	65686121	65686221
chr11	67346224	67347466	1243	458	92	264.84	8.71	0.02	chr11	67346681	67346631	67346731
chr11	68639645	68641043	1399	974	51	78.72	3.2	0.09	chr11	68640618	68640568	68640668
chr11	68672919	68674263	1345	806	116	698.07	11.77	0	chr11	68673724	68673674	68673774
chr11	69894605	69895496	892	391	30	70.82	5	0.14	chr11	69894995	69894945	69895045
chr11	72059465	72060175	711	347	25	116.45	6.67	0.04	chr11	72059811	72059761	72059861
chr11	72124833	72125805	973	565	31	140.14	6.25	0.04	chr11	72125397	72125347	72125447
chr11	73386547	73387865	1319	831	138	891.55	19.35	0	chr11	73387377	73387327	73387427
chr11	75220061	75220751	691	382	22	70.73	5.23	0.14	chr11	75220442	75220392	75220492
chr11	7556304	7556989	686	395	29	120.89	6.25	0.04	chr11	7556698	7556648	7556748
chr11	76499439	76500429	991	501	37	67.69	3.75	0.16	chr11	76499939	76499889	76499989
chr11	79577202	79578142	941	504	69	556.57	21.14	0.02	chr11	79577705	79577655	79577755
